requested_sheet,workbook_sheet,excel_row,table_name,column_name,lookup_code,lookup_value,sample_data,status,api_code
accused_lookup_appeal_module,accused_lookup_appeal_module,12,t_accused_appeal,kalandra_acc_pers_cd,??,??,"""kalandra_acc_pers_cd"":100,",unknown_lookup,
accused_lookup_appeal_module,accused_lookup_appeal_module,17,t_accused_appeal,court_estbl_cd,??,??,"""court_estbl_cd"":null,",unknown_lookup,
accused_lookup_appeal_module,accused_lookup_appeal_module,18,t_accused_appeal,court_name_cd,??,??,"""court_name_cd"":""string"",",unknown_lookup,
accused_lookup_appeal_module,accused_lookup_appeal_module,21,t_accused_appeal,punishment_type_cd,??,??,"""punishment_type_cd"":2,",unknown_lookup,
accused_lookup_appeal_module,accused_lookup_appeal_module,48,t_accused_appeal_acts,act_cd,mdm.m_act.act_cd,act_long,"""act_cd"":4375,",not_m_lookup_masters,
accused_lookup_appeal_module,accused_lookup_appeal_module,49,t_accused_appeal_acts,section_cd,mdm.m_section.section_code,"section,section_desc","""section_cd"":""string"",",not_m_lookup_masters,
accused_lookup_seizure_module,accused_lookup_seizure_module,13,t_property_currency,seizd_curr_src_cd,,,"""seizd_curr_src_cd"":0,",blank_lookup,
accused_lookup_seizure_module,accused_lookup_seizure_module,14,t_property_currency,seizure_agency_cd,,,"""seizure_agency_cd"":0,",blank_lookup,
accused_lookup_seizure_module,accused_lookup_seizure_module,15,t_property_currency,init_seiz_detect_src_cd,,,"""init_seiz_detect_src_cd"":0,",blank_lookup,
accused_lookup_seizure_module,accused_lookup_seizure_module,16,t_property_currency,print_modus_oper_cd,,,"""print_modus_oper_cd"":0,",blank_lookup,
accused_lookup_seizure_module,accused_lookup_seizure_module,69,t_property_attachment,court_estbl_cd,,,"""court_estbl_cd"":null,",blank_lookup,
accused_lookup_reports_module,accused_lookup_reports_module,29,rep_fir_accused,addr_state_cd,mdm.m_state.state_cd,"state, state_id","""addr_state_cd"":null,",not_m_lookup_masters,
accused_lookup_reports_module,accused_lookup_reports_module,30,rep_fir_accused,addr_district_cd,mdm.m_district.district_cd,"district, district_id","""addr_district_cd"":null,",not_m_lookup_masters,
accused_lookup_reports_module,accused_lookup_reports_module,31,rep_fir_accused,addr_ps_cd,mdm.m_police_station.ps_cd,"ps, ps_id","""addr_ps_cd"":null,",not_m_lookup_masters,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,5,t_freezing_order_accused,accused_person_cd,??,??,"""accused_person_cd"":14,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,8,t_freezing_order_accused,accused_person_cd_migr,,,"""accused_person_cd_migr"":null,",blank_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,52,t_freezing_order_acc_addr,accused_person_cd,??,??,"""accused_person_cd"":14,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,53,t_freezing_order_acc_addr,address_cd_migr,,,"""address_cd_migr"":null,",blank_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,58,t_freezing_order_acc_addr,sub_district_cd,mdm.m_sub_district.sub_district_cd,sub_district,"""sub_district_cd"":223753296,",not_m_lookup_masters,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,59,t_freezing_order_acc_addr,village_cd,mdm.m_subdist_villages.village_cd,village_name,"""village_cd"":223753296438837,",not_m_lookup_masters,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,78,t_freezing_order_acc_addr,lg_district_cd,mdm.m_district.district_cd,"district, district_cd","""lg_district_cd"":252",not_m_lookup_masters,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,86,t_freezing_order_acc_bank,accused_person_cd,??,??,"""accused_person_cd"":14,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,95,t_freezing_order_acc_bank,action_type_cd,??,??,"""action_type_cd"":16,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,117,t_freezing_order_acc_depository,accused_person_cd,??,??,"""accused_person_cd"":14,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,120,t_freezing_order_acc_depository,action_type_cd,??,??,"""action_type_cd"":85,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,140,t_freezing_order_acc_email,accused_person_cd,??,??,"""accused_person_cd"":14,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,146,t_freezing_order_acc_email,action_type_cd,??,??,"""action_type_cd"":59,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,166,t_freezing_order_acc_insurance,accused_person_cd,??,??,"""accused_person_cd"":14,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,172,t_freezing_order_acc_insurance,policy_nature_cd,??,??,"""policy_nature_cd"":0,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,176,t_freezing_order_acc_insurance,action_type_cd,??,??,"""action_type_cd"":33,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,202,t_freezing_order_acc_insurance_addr,sub_district_cd,mdm.m_sub_district.sub_district_cd,sub_district,"""sub_district_cd"":142521874,",not_m_lookup_masters,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,203,t_freezing_order_acc_insurance_addr,village_cd,mdm.m_subdist_villages.village_cd,village_name,"""village_cd"":142521874928301,",not_m_lookup_masters,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,207,t_freezing_order_acc_insurance_addr,distrct_cd,mdm.m_district.district_cd,look_up_value,"""distrct_cd"":null,",not_m_lookup_masters,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,220,t_freezing_order_acc_insurance_addr,lg_district_cd,mdm.m_district.district_cd,"district, district_cd","""lg_district_cd"":252,",not_m_lookup_masters,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,229,t_freezing_order_acc_network,accused_person_cd,??,??,"""accused_person_cd"":14,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,234,t_freezing_order_acc_network,action_type_cd,??,??,"""action_type_cd"":0,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,255,t_freezing_order_acc_other_agency,accused_person_cd,??,??,"""accused_person_cd"":14,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,281,t_freezing_order_acc_subregistrar,accused_person_cd,??,??,"""accused_person_cd"":14,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,287,t_freezing_order_acc_subregistrar,action_type_cd,??,??,"""action_type_cd"":0,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,313,t_freezing_order_acc_subregistrar_addr,sub_district_cd,mdm.m_sub_district.sub_district_cd,sub_district,"""sub_district_cd"":142521874,",not_m_lookup_masters,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,314,t_freezing_order_acc_subregistrar_addr,village_cd,mdm.m_subdist_villages.village_cd,village_name,"""village_cd"":142521874928301,",not_m_lookup_masters,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,318,t_freezing_order_acc_subregistrar_addr,distrct_cd,??,??,"""distrct_cd"":null,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,331,t_freezing_order_acc_subregistrar_addr,lg_district_cd,mdm.m_district.district_cd,"district, district_cd","""lg_district_cd"":252,",not_m_lookup_masters,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,341,t_freezing_order_acc_voip_dtls,accused_person_cd,??,??,"""accused_person_cd"":14,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,345,t_freezing_order_acc_voip_dtls,action_type_cd,??,??,"""action_type_cd"":0,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,365,t_freezing_order_acc_web_domain,accused_person_cd,??,??,"""accused_person_cd"":14,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,369,t_freezing_order_acc_web_domain,action_type_cd,??,??,"""action_type_cd"":0,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,389,t_freezing_order_agncy_addr,accused_person_cd,??,??,"""accused_person_cd"":null,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,390,t_freezing_order_agncy_addr,agency_type_cd,??,??,"""agency_type_cd"":null,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,392,t_freezing_order_agncy_addr,action_type_cd,??,??,"""action_type_cd"":null,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,397,t_freezing_order_agncy_addr,sub_district_cd,mdm.m_sub_district.sub_district_cd,sub_district,"""sub_district_cd"":null,",not_m_lookup_masters,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,398,t_freezing_order_agncy_addr,village_cd,mdm.m_subdist_villages.village_cd,village_name,"""village_cd"":null,",not_m_lookup_masters,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,402,t_freezing_order_agncy_addr,distrct_cd,??,??,"""distrct_cd"":null,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,415,t_freezing_order_agncy_addr,lg_district_cd,mdm.m_district.district_cd,"district, district_cd","""lg_district_cd"":null,",not_m_lookup_masters,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,421,t_fir_notice_requests_accused,accused_person_cd,??,??,"""accused_person_cd"":22,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,424,t_fir_notice_requests_accused,accused_person_cd_migr,??,??,"""accused_person_cd_migr"":null,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,443,t_fir_notice_requests_accused,acc_mob_std_cd,??,??,"""acc_mob_std_cd"":91,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,467,t_fir_notice_requests_acc_addr,accused_person_cd,??,??,"""accused_person_cd"":22,",unknown_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,468,t_fir_notice_requests_acc_addr,address_cd_migr,,,"""address_cd_migr"":null,",blank_lookup,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,473,t_fir_notice_requests_acc_addr,sub_district_cd,mdm.m_sub_district.sub_district_cd,sub_district,"""sub_district_cd"":142521874,",not_m_lookup_masters,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,474,t_fir_notice_requests_acc_addr,village_cd,mdm.m_subdist_villages.village_cd,village_name,"""village_cd"":142521874928301,",not_m_lookup_masters,
accused_lookup_notc_ordr_module,accused_lookup_notc_ordr_module,490,t_fir_notice_requests_acc_addr,lg_district_cd,mdm.m_district.district_cd,"district, district_cd","""lg_district_cd"":252,",not_m_lookup_masters,
accused_lookup_kalandra_module,accused_lookup_kalandra_module,20,t_kalandra_accused_bail,bail_court_cd,??,??,"""bail_court_cd"":""ANPB01"",",unknown_lookup,
accused_lookup_kalandra_module,accused_lookup_kalandra_module,75,t_kalandra_accused_surety_prop,surety_prop_addr_cd_migr,,,"""surety_prop_addr_cd_migr"":null,",blank_lookup,
accused_lookup_kalandra_module,accused_lookup_kalandra_module,81,t_kalandra_accused_surety_prop,survey_land_addr_cd,,,"""survey_land_addr_cd"":null,",blank_lookup,
accused_lookup_kalandra_module,accused_lookup_kalandra_module,82,t_kalandra_accused_surety_prop,address_cd,,,"""address_cd"":null,",blank_lookup,
accused_lookup_kalandra_module,accused_lookup_kalandra_module,104,t_kalandra_accused_surety_prop_addr,sub_district_cd,mdm.m_sub_district.sub_district_cd,sub_district,"""sub_district_cd"":285025320,",not_m_lookup_masters,
accused_lookup_kalandra_module,accused_lookup_kalandra_module,105,t_kalandra_accused_surety_prop_addr,village_cd,mdm.m_subdist_villages.village_cd,village_name,"""village_cd"":285025320594931,",not_m_lookup_masters,
